> [{cost: 104, cost_one: 5, cost_two: 2, cost_comp: 104, temperature: 810.000000}]
> [{cost: 68, cost_one: 3, cost_two: 2, cost_comp: 68, temperature: 0.998650}]
> [{cost: 59, cost_one: 1, cost_two: 1, cost_comp: 59, temperature: 0.499633}]
> [{cost: 36, cost_one: 1, cost_two: 4, cost_comp: 39, temperature: 0.333157}]
> [{cost: 31, cost_one: 0, cost_two: 3, cost_comp: 34, temperature: 0.249893}]
> [{cost: 28, cost_one: 1, cost_two: 3, cost_comp: 30, temperature: 0.199927}]
> [{cost: 27, cost_one: 0, cost_two: 5, cost_comp: 32, temperature: 0.166613}]
> [{cost: 23, cost_one: 0, cost_two: 3, cost_comp: 26, temperature: 0.142815}]
> [{cost: 20, cost_one: 0, cost_two: 3, cost_comp: 23, temperature: 0.124966}]
> [{cost: 19, cost_one: 0, cost_two: 3, cost_comp: 22, temperature: 0.111083}]
> [{cost: 18, cost_one: 1, cost_two: 3, cost_comp: 20, temperature: 0.099976}]
> [{cost: 16, cost_one: 0, cost_two: 3, cost_comp: 19, temperature: 0.090888}]
> [{cost: 15, cost_one: 0, cost_two: 3, cost_comp: 18, temperature: 0.083315}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17, temperature: 0.076907}]
> [{cost: 14, cost_one: 1, cost_two: 3, cost_comp: 16, temperature: 0.071414}]
> [{cost: 14, cost_one: 0, cost_two: 4, cost_comp: 18, temperature: 0.066653}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17, temperature: 0.062488}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.058812}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.055545}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.052622}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.049991}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.047611}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.045447}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.043471}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.041660}]
> [{cost: 10, cost_one: 1, cost_two: 2, cost_comp: 11, temperature: 0.039993}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.038455}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.037031}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.035709}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.034477}]
> [{cost: 10, cost_one: 0, cost_two: 4, cost_comp: 14, temperature: 0.033328}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.032253}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.031245}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.030298}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.029407}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.028567}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.027774}]
> [{cost: 10, cost_one: 1, cost_two: 2, cost_comp: 11, temperature: 0.027023}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.026312}]
> [{cost: 10, cost_one: 1, cost_two: 2, cost_comp: 11, temperature: 0.025637}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.024996}]
