> [{cost: 78, cost_one: 1, cost_two: 3, cost_comp: 78}]
> [{cost: 72, cost_one: 2, cost_two: 0, cost_comp: 72}]
> [{cost: 57, cost_one: 1, cost_two: 3, cost_comp: 59}]
> [{cost: 38, cost_one: 2, cost_two: 3, cost_comp: 39}]
> [{cost: 32, cost_one: 0, cost_two: 2, cost_comp: 34}]
> [{cost: 29, cost_one: 1, cost_two: 1, cost_comp: 29}]
> [{cost: 29, cost_one: 0, cost_two: 4, cost_comp: 33}]
> [{cost: 28, cost_one: 1, cost_two: 2, cost_comp: 29}]
> [{cost: 28, cost_one: 2, cost_two: 5, cost_comp: 31}]
> [{cost: 28, cost_one: 1, cost_two: 3, cost_comp: 30}]
> [{cost: 25, cost_one: 0, cost_two: 3, cost_comp: 28}]
> [{cost: 25, cost_one: 2, cost_two: 2, cost_comp: 25}]
> [{cost: 25, cost_one: 0, cost_two: 3, cost_comp: 28}]
> [{cost: 24, cost_one: 1, cost_two: 3, cost_comp: 26}]
> [{cost: 24, cost_one: 0, cost_two: 4, cost_comp: 28}]
> [{cost: 22, cost_one: 0, cost_two: 3, cost_comp: 25}]
> [{cost: 21, cost_one: 0, cost_two: 3, cost_comp: 24}]
> [{cost: 21, cost_one: 1, cost_two: 3, cost_comp: 23}]
> [{cost: 21, cost_one: 1, cost_two: 4, cost_comp: 24}]
> [{cost: 21, cost_one: 1, cost_two: 3, cost_comp: 23}]
> [{cost: 20, cost_one: 0, cost_two: 3, cost_comp: 23}]
> [{cost: 19, cost_one: 1, cost_two: 3, cost_comp: 21}]
> [{cost: 17, cost_one: 0, cost_two: 2, cost_comp: 19}]
> [{cost: 17, cost_one: 1, cost_two: 3, cost_comp: 19}]
> [{cost: 17, cost_one: 0, cost_two: 3, cost_comp: 20}]
> [{cost: 17, cost_one: 1, cost_two: 2, cost_comp: 18}]
> [{cost: 17, cost_one: 0, cost_two: 1, cost_comp: 18}]
> [{cost: 17, cost_one: 0, cost_two: 3, cost_comp: 20}]
> [{cost: 16, cost_one: 0, cost_two: 3, cost_comp: 19}]
> [{cost: 16, cost_one: 0, cost_two: 3, cost_comp: 19}]
> [{cost: 16, cost_one: 0, cost_two: 3, cost_comp: 19}]
> [{cost: 16, cost_one: 1, cost_two: 3, cost_comp: 18}]
> [{cost: 16, cost_one: 1, cost_two: 3, cost_comp: 18}]
> [{cost: 15, cost_one: 0, cost_two: 4, cost_comp: 19}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 1, cost_two: 4, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 1, cost_two: 3, cost_comp: 16}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 1, cost_two: 3, cost_comp: 16}]
