> [{cost: 103, cost_one: 4, cost_two: 2, cost_comp: 103}]
> [{cost: 82, cost_one: 3, cost_two: 2, cost_comp: 82}]
> [{cost: 63, cost_one: 2, cost_two: 2, cost_comp: 63}]
> [{cost: 47, cost_one: 2, cost_two: 4, cost_comp: 49}]
> [{cost: 43, cost_one: 1, cost_two: 4, cost_comp: 46}]
> [{cost: 35, cost_one: 0, cost_two: 3, cost_comp: 38}]
> [{cost: 31, cost_one: 0, cost_two: 2, cost_comp: 33}]
> [{cost: 30, cost_one: 2, cost_two: 4, cost_comp: 32}]
> [{cost: 29, cost_one: 1, cost_two: 1, cost_comp: 29}]
> [{cost: 28, cost_one: 1, cost_two: 1, cost_comp: 28}]
> [{cost: 28, cost_one: 1, cost_two: 3, cost_comp: 30}]
> [{cost: 27, cost_one: 1, cost_two: 3, cost_comp: 29}]
> [{cost: 26, cost_one: 1, cost_two: 2, cost_comp: 27}]
> [{cost: 25, cost_one: 0, cost_two: 3, cost_comp: 28}]
> [{cost: 25, cost_one: 1, cost_two: 4, cost_comp: 28}]
> [{cost: 23, cost_one: 2, cost_two: 2, cost_comp: 23}]
> [{cost: 22, cost_one: 1, cost_two: 3, cost_comp: 24}]
> [{cost: 19, cost_one: 0, cost_two: 3, cost_comp: 22}]
> [{cost: 19, cost_one: 0, cost_two: 3, cost_comp: 22}]
> [{cost: 19, cost_one: 0, cost_two: 1, cost_comp: 20}]
> [{cost: 19, cost_one: 1, cost_two: 2, cost_comp: 20}]
> [{cost: 18, cost_one: 1, cost_two: 3, cost_comp: 20}]
> [{cost: 18, cost_one: 0, cost_two: 3, cost_comp: 21}]
> [{cost: 17, cost_one: 1, cost_two: 1, cost_comp: 17}]
> [{cost: 17, cost_one: 1, cost_two: 4, cost_comp: 20}]
> [{cost: 16, cost_one: 0, cost_two: 4, cost_comp: 20}]
> [{cost: 16, cost_one: 0, cost_two: 3, cost_comp: 19}]
> [{cost: 15, cost_one: 0, cost_two: 3, cost_comp: 18}]
> [{cost: 15, cost_one: 0, cost_two: 3, cost_comp: 18}]
> [{cost: 15, cost_one: 0, cost_two: 4, cost_comp: 19}]
> [{cost: 15, cost_one: 0, cost_two: 3, cost_comp: 18}]
> [{cost: 15, cost_one: 0, cost_two: 3, cost_comp: 18}]
> [{cost: 14, cost_one: 1, cost_two: 3, cost_comp: 16}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 1, cost_two: 2, cost_comp: 15}]
> [{cost: 14, cost_one: 1, cost_two: 2, cost_comp: 15}]
> [{cost: 14, cost_one: 0, cost_two: 4, cost_comp: 18}]
> [{cost: 14, cost_one: 1, cost_two: 2, cost_comp: 15}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 2, cost_comp: 16}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 1, cost_two: 3, cost_comp: 16}]
> [{cost: 14, cost_one: 1, cost_two: 4, cost_comp: 17}]
> [{cost: 14, cost_one: 2, cost_two: 4, cost_comp: 16}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 1, cost_two: 3, cost_comp: 16}]
> [{cost: 14, cost_one: 0, cost_two: 2, cost_comp: 16}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 2, cost_comp: 16}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 14, cost_one: 2, cost_two: 3, cost_comp: 15}]
> [{cost: 14, cost_one: 0, cost_two: 3, cost_comp: 17}]
> [{cost: 12, cost_one: 2, cost_two: 1, cost_comp: 12}]
> [{cost: 11, cost_one: 2, cost_two: 3, cost_comp: 12}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 1, cost_two: 1, cost_comp: 11}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13}]
