> [{cost: 119, cost_one: 3, cost_two: 2}]
> [{cost: 111, cost_one: 3, cost_two: 4}]
> [{cost: 110, cost_one: 2, cost_two: 1}]
> [{cost: 110, cost_one: 4, cost_two: 4}]
> [{cost: 109, cost_one: 3, cost_two: 2}]
> [{cost: 108, cost_one: 3, cost_two: 2}]
> [{cost: 108, cost_one: 2, cost_two: 5}]
> [{cost: 109, cost_one: 2, cost_two: 3}]
> [{cost: 109, cost_one: 3, cost_two: 3}]
> [{cost: 109, cost_one: 6, cost_two: 6}]
> [{cost: 108, cost_one: 3, cost_two: 2}]
> [{cost: 107, cost_one: 4, cost_two: 3}]
> [{cost: 108, cost_one: 3, cost_two: 4}]
> [{cost: 106, cost_one: 4, cost_two: 2}]
> [{cost: 107, cost_one: 2, cost_two: 3}]
> [{cost: 105, cost_one: 5, cost_two: 3}]
> [{cost: 106, cost_one: 5, cost_two: 6}]
> [{cost: 108, cost_one: 2, cost_two: 4}]
> [{cost: 106, cost_one: 5, cost_two: 3}]
> [{cost: 108, cost_one: 2, cost_two: 4}]
> [{cost: 108, cost_one: 4, cost_two: 4}]
> [{cost: 109, cost_one: 3, cost_two: 4}]
> [{cost: 111, cost_one: 1, cost_two: 3}]
> [{cost: 111, cost_one: 2, cost_two: 5}]
> [{cost: 111, cost_one: 2, cost_two: 2}]
> [{cost: 113, cost_one: 4, cost_two: 6}]
> [{cost: 113, cost_one: 2, cost_two: 5}]
> [{cost: 112, cost_one: 3, cost_two: 2}]
> [{cost: 112, cost_one: 4, cost_two: 4}]
> [{cost: 112, cost_one: 4, cost_two: 4}]
> [{cost: 110, cost_one: 6, cost_two: 4}]
> [{cost: 109, cost_one: 4, cost_two: 3}]
> [{cost: 108, cost_one: 4, cost_two: 3}]
> [{cost: 106, cost_one: 4, cost_two: 2}]
> [{cost: 106, cost_one: 2, cost_two: 2}]
> [{cost: 106, cost_one: 3, cost_two: 3}]
> [{cost: 107, cost_one: 3, cost_two: 4}]
> [{cost: 109, cost_one: 2, cost_two: 4}]
> [{cost: 108, cost_one: 4, cost_two: 3}]
> [{cost: 107, cost_one: 5, cost_two: 4}]
> [{cost: 108, cost_one: 2, cost_two: 3}]
> [{cost: 107, cost_one: 4, cost_two: 3}]
> [{cost: 108, cost_one: 3, cost_two: 4}]
> [{cost: 109, cost_one: 3, cost_two: 4}]
> [{cost: 110, cost_one: 2, cost_two: 3}]
> [{cost: 110, cost_one: 2, cost_two: 5}]
> [{cost: 110, cost_one: 4, cost_two: 4}]
> [{cost: 109, cost_one: 4, cost_two: 3}]
> [{cost: 108, cost_one: 3, cost_two: 2}]
> [{cost: 108, cost_one: 3, cost_two: 3}]
> [{cost: 108, cost_one: 2, cost_two: 2}]
> [{cost: 108, cost_one: 1, cost_two: 1}]
> [{cost: 108, cost_one: 4, cost_two: 4}]
> [{cost: 108, cost_one: 2, cost_two: 5}]
> [{cost: 105, cost_one: 6, cost_two: 3}]
> [{cost: 105, cost_one: 4, cost_two: 4}]
> [{cost: 105, cost_one: 2, cost_two: 6}]
> [{cost: 106, cost_one: 2, cost_two: 3}]
> [{cost: 104, cost_one: 5, cost_two: 3}]
> [{cost: 103, cost_one: 4, cost_two: 3}]
> [{cost: 103, cost_one: 4, cost_two: 4}]
> [{cost: 103, cost_one: 1, cost_two: 4}]
> [{cost: 105, cost_one: 3, cost_two: 5}]
> [{cost: 105, cost_one: 2, cost_two: 5}]
> [{cost: 105, cost_one: 1, cost_two: 5}]
> [{cost: 105, cost_one: 4, cost_two: 4}]
> [{cost: 101, cost_one: 6, cost_two: 2}]
> [{cost: 100, cost_one: 3, cost_two: 2}]
> [{cost: 99, cost_one: 4, cost_two: 3}]
> [{cost: 101, cost_one: 3, cost_two: 5}]
> [{cost: 100, cost_one: 3, cost_two: 2}]
> [{cost: 100, cost_one: 3, cost_two: 3}]
> [{cost: 100, cost_one: 3, cost_two: 3}]
> [{cost: 101, cost_one: 1, cost_two: 2}]
> [{cost: 102, cost_one: 3, cost_two: 4}]
> [{cost: 103, cost_one: 3, cost_two: 4}]
> [{cost: 103, cost_one: 2, cost_two: 2}]
> [{cost: 104, cost_one: 2, cost_two: 3}]
> [{cost: 105, cost_one: 1, cost_two: 2}]
> [{cost: 103, cost_one: 3, cost_two: 1}]
> [{cost: 101, cost_one: 4, cost_two: 2}]
> [{cost: 101, cost_one: 3, cost_two: 3}]
> [{cost: 99, cost_one: 4, cost_two: 2}]
> [{cost: 96, cost_one: 4, cost_two: 1}]
> [{cost: 96, cost_one: 3, cost_two: 3}]
> [{cost: 96, cost_one: 3, cost_two: 3}]
> [{cost: 94, cost_one: 4, cost_two: 2}]
> [{cost: 94, cost_one: 1, cost_two: 5}]
> [{cost: 94, cost_one: 3, cost_two: 3}]
> [{cost: 94, cost_one: 3, cost_two: 5}]
> [{cost: 93, cost_one: 2, cost_two: 1}]
> [{cost: 93, cost_one: 3, cost_two: 3}]
> [{cost: 93, cost_one: 3, cost_two: 3}]
> [{cost: 94, cost_one: 1, cost_two: 2}]
> [{cost: 94, cost_one: 1, cost_two: 3}]
> [{cost: 94, cost_one: 3, cost_two: 5}]
> [{cost: 94, cost_one: 3, cost_two: 5}]
> [{cost: 93, cost_one: 2, cost_two: 1}]
> [{cost: 93, cost_one: 3, cost_two: 3}]
> [{cost: 89, cost_one: 6, cost_two: 2}]
> [{cost: 89, cost_one: 4, cost_two: 4}]
> [{cost: 89, cost_one: 1, cost_two: 1}]
> [{cost: 89, cost_one: 3, cost_two: 3}]
> [{cost: 90, cost_one: 4, cost_two: 5}]
> [{cost: 89, cost_one: 3, cost_two: 2}]
> [{cost: 90, cost_one: 2, cost_two: 3}]
> [{cost: 90, cost_one: 3, cost_two: 3}]
> [{cost: 89, cost_one: 4, cost_two: 3}]
> [{cost: 87, cost_one: 3, cost_two: 1}]
> [{cost: 87, cost_one: 3, cost_two: 3}]
> [{cost: 87, cost_one: 3, cost_two: 6}]
> [{cost: 87, cost_one: 3, cost_two: 3}]
> [{cost: 87, cost_one: 2, cost_two: 2}]
> [{cost: 87, cost_one: 1, cost_two: 3}]
> [{cost: 87, cost_one: 1, cost_two: 4}]
> [{cost: 87, cost_one: 5, cost_two: 5}]
> [{cost: 88, cost_one: 3, cost_two: 4}]
> [{cost: 89, cost_one: 2, cost_two: 3}]
> [{cost: 89, cost_one: 1, cost_two: 4}]
> [{cost: 89, cost_one: 1, cost_two: 3}]
> [{cost: 89, cost_one: 2, cost_two: 4}]
> [{cost: 87, cost_one: 4, cost_two: 2}]
> [{cost: 87, cost_one: 2, cost_two: 5}]
> [{cost: 87, cost_one: 3, cost_two: 5}]
> [{cost: 86, cost_one: 4, cost_two: 3}]
> [{cost: 86, cost_one: 2, cost_two: 2}]
> [{cost: 87, cost_one: 2, cost_two: 3}]
> [{cost: 88, cost_one: 2, cost_two: 3}]
> [{cost: 88, cost_one: 3, cost_two: 5}]
> [{cost: 87, cost_one: 3, cost_two: 2}]
> [{cost: 87, cost_one: 1, cost_two: 3}]
> [{cost: 88, cost_one: 3, cost_two: 4}]
> [{cost: 88, cost_one: 3, cost_two: 3}]
> [{cost: 89, cost_one: 2, cost_two: 3}]
> [{cost: 88, cost_one: 2, cost_two: 1}]
> [{cost: 89, cost_one: 4, cost_two: 5}]
> [{cost: 90, cost_one: 3, cost_two: 4}]
> [{cost: 91, cost_one: 1, cost_two: 2}]
> [{cost: 92, cost_one: 4, cost_two: 5}]
> [{cost: 90, cost_one: 3, cost_two: 1}]
> [{cost: 91, cost_one: 3, cost_two: 4}]
> [{cost: 90, cost_one: 3, cost_two: 2}]
> [{cost: 90, cost_one: 3, cost_two: 3}]
> [{cost: 91, cost_one: 4, cost_two: 5}]
> [{cost: 91, cost_one: 3, cost_two: 5}]
> [{cost: 91, cost_one: 2, cost_two: 2}]
> [{cost: 91, cost_one: 1, cost_two: 3}]
> [{cost: 91, cost_one: 4, cost_two: 4}]
> [{cost: 92, cost_one: 2, cost_two: 3}]
> [{cost: 93, cost_one: 3, cost_two: 4}]
> [{cost: 93, cost_one: 3, cost_two: 5}]
> [{cost: 94, cost_one: 3, cost_two: 4}]
> [{cost: 95, cost_one: 3, cost_two: 4}]
> [{cost: 95, cost_one: 3, cost_two: 3}]
> [{cost: 95, cost_one: 2, cost_two: 5}]
> [{cost: 95, cost_one: 2, cost_two: 4}]
> [{cost: 96, cost_one: 2, cost_two: 3}]
> [{cost: 95, cost_one: 5, cost_two: 4}]
> [{cost: 94, cost_one: 4, cost_two: 3}]
> [{cost: 92, cost_one: 4, cost_two: 2}]
> [{cost: 89, cost_one: 4, cost_two: 1}]
> [{cost: 87, cost_one: 4, cost_two: 2}]
> [{cost: 87, cost_one: 1, cost_two: 3}]
> [{cost: 87, cost_one: 1, cost_two: 5}]
> [{cost: 88, cost_one: 3, cost_two: 4}]
> [{cost: 88, cost_one: 1, cost_two: 5}]
> [{cost: 88, cost_one: 1, cost_two: 4}]
> [{cost: 89, cost_one: 1, cost_two: 2}]
> [{cost: 89, cost_one: 2, cost_two: 5}]
> [{cost: 89, cost_one: 1, cost_two: 5}]
> [{cost: 89, cost_one: 2, cost_two: 5}]
> [{cost: 89, cost_one: 3, cost_two: 3}]
> [{cost: 89, cost_one: 2, cost_two: 4}]
> [{cost: 89, cost_one: 1, cost_two: 2}]
> [{cost: 89, cost_one: 5, cost_two: 5}]
> [{cost: 88, cost_one: 4, cost_two: 3}]
> [{cost: 88, cost_one: 2, cost_two: 4}]
> [{cost: 88, cost_one: 2, cost_two: 3}]
> [{cost: 88, cost_one: 1, cost_two: 1}]
> [{cost: 88, cost_one: 2, cost_two: 2}]
> [{cost: 86, cost_one: 5, cost_two: 3}]
> [{cost: 86, cost_one: 2, cost_two: 4}]
> [{cost: 86, cost_one: 3, cost_two: 4}]
> [{cost: 86, cost_one: 2, cost_two: 3}]
> [{cost: 86, cost_one: 3, cost_two: 4}]
> [{cost: 86, cost_one: 2, cost_two: 4}]
> [{cost: 86, cost_one: 3, cost_two: 3}]
> [{cost: 86, cost_one: 5, cost_two: 5}]
> [{cost: 86, cost_one: 2, cost_two: 4}]
> [{cost: 86, cost_one: 1, cost_two: 4}]
> [{cost: 86, cost_one: 2, cost_two: 5}]
> [{cost: 85, cost_one: 4, cost_two: 3}]
> [{cost: 85, cost_one: 2, cost_two: 3}]
> [{cost: 85, cost_one: 2, cost_two: 2}]
> [{cost: 85, cost_one: 3, cost_two: 3}]
> [{cost: 85, cost_one: 3, cost_two: 3}]
> [{cost: 85, cost_one: 3, cost_two: 3}]
> [{cost: 85, cost_one: 4, cost_two: 4}]
> [{cost: 85, cost_one: 3, cost_two: 3}]
> [{cost: 85, cost_one: 3, cost_two: 3}]
> [{cost: 85, cost_one: 2, cost_two: 3}]
> [{cost: 85, cost_one: 4, cost_two: 4}]
> [{cost: 85, cost_one: 2, cost_two: 5}]
> [{cost: 85, cost_one: 2, cost_two: 5}]
> [{cost: 85, cost_one: 3, cost_two: 3}]
> [{cost: 84, cost_one: 4, cost_two: 3}]
> [{cost: 84, cost_one: 3, cost_two: 3}]
> [{cost: 84, cost_one: 1, cost_two: 4}]
> [{cost: 83, cost_one: 3, cost_two: 2}]
> [{cost: 83, cost_one: 2, cost_two: 4}]
> [{cost: 81, cost_one: 4, cost_two: 2}]
> [{cost: 81, cost_one: 4, cost_two: 4}]
> [{cost: 81, cost_one: 3, cost_two: 3}]
> [{cost: 81, cost_one: 1, cost_two: 2}]
> [{cost: 81, cost_one: 2, cost_two: 3}]
> [{cost: 81, cost_one: 3, cost_two: 4}]
> [{cost: 81, cost_one: 3, cost_two: 5}]
> [{cost: 81, cost_one: 2, cost_two: 5}]
> [{cost: 81, cost_one: 1, cost_two: 5}]
> [{cost: 81, cost_one: 2, cost_two: 3}]
> [{cost: 81, cost_one: 2, cost_two: 4}]
> [{cost: 81, cost_one: 1, cost_two: 5}]
> [{cost: 81, cost_one: 2, cost_two: 4}]
> [{cost: 81, cost_one: 1, cost_two: 2}]
> [{cost: 80, cost_one: 3, cost_two: 2}]
> [{cost: 79, cost_one: 4, cost_two: 3}]
> [{cost: 79, cost_one: 2, cost_two: 3}]
> [{cost: 79, cost_one: 2, cost_two: 3}]
> [{cost: 79, cost_one: 3, cost_two: 4}]
> [{cost: 79, cost_one: 2, cost_two: 5}]
> [{cost: 78, cost_one: 4, cost_two: 3}]
> [{cost: 78, cost_one: 2, cost_two: 3}]
> [{cost: 78, cost_one: 3, cost_two: 4}]
> [{cost: 77, cost_one: 3, cost_two: 2}]
> [{cost: 77, cost_one: 1, cost_two: 1}]
> [{cost: 76, cost_one: 2, cost_two: 1}]
> [{cost: 76, cost_one: 2, cost_two: 5}]
> [{cost: 76, cost_one: 3, cost_two: 4}]
> [{cost: 76, cost_one: 2, cost_two: 5}]
> [{cost: 76, cost_one: 3, cost_two: 4}]
> [{cost: 76, cost_one: 3, cost_two: 4}]
> [{cost: 76, cost_one: 3, cost_two: 4}]
> [{cost: 76, cost_one: 2, cost_two: 2}]
> [{cost: 74, cost_one: 4, cost_two: 2}]
> [{cost: 74, cost_one: 1, cost_two: 5}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 1, cost_two: 2}]
> [{cost: 74, cost_one: 2, cost_two: 2}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 3, cost_two: 4}]
> [{cost: 74, cost_one: 3, cost_two: 5}]
> [{cost: 74, cost_one: 3, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 2}]
> [{cost: 74, cost_one: 1, cost_two: 3}]
> [{cost: 72, cost_one: 5, cost_two: 3}]
> [{cost: 72, cost_one: 3, cost_two: 4}]
> [{cost: 72, cost_one: 2, cost_two: 4}]
> [{cost: 72, cost_one: 2, cost_two: 5}]
> [{cost: 72, cost_one: 4, cost_two: 4}]
> [{cost: 72, cost_one: 1, cost_two: 4}]
> [{cost: 72, cost_one: 1, cost_two: 3}]
> [{cost: 72, cost_one: 2, cost_two: 2}]
> [{cost: 72, cost_one: 1, cost_two: 2}]
> [{cost: 72, cost_one: 2, cost_two: 5}]
> [{cost: 72, cost_one: 2, cost_two: 4}]
> [{cost: 72, cost_one: 2, cost_two: 4}]
> [{cost: 72, cost_one: 2, cost_two: 5}]
> [{cost: 72, cost_one: 1, cost_two: 1}]
> [{cost: 72, cost_one: 2, cost_two: 4}]
> [{cost: 72, cost_one: 3, cost_two: 3}]
> [{cost: 72, cost_one: 2, cost_two: 3}]
> [{cost: 72, cost_one: 2, cost_two: 3}]
> [{cost: 72, cost_one: 2, cost_two: 5}]
> [{cost: 72, cost_one: 2, cost_two: 4}]
> [{cost: 72, cost_one: 2, cost_two: 2}]
> [{cost: 72, cost_one: 1, cost_two: 5}]
> [{cost: 72, cost_one: 4, cost_two: 4}]
> [{cost: 70, cost_one: 4, cost_two: 2}]
> [{cost: 70, cost_one: 1, cost_two: 4}]
> [{cost: 70, cost_one: 2, cost_two: 2}]
> [{cost: 70, cost_one: 3, cost_two: 3}]
> [{cost: 70, cost_one: 3, cost_two: 4}]
> [{cost: 70, cost_one: 1, cost_two: 2}]
> [{cost: 70, cost_one: 2, cost_two: 3}]
> [{cost: 70, cost_one: 2, cost_two: 3}]
> [{cost: 69, cost_one: 2, cost_two: 1}]
> [{cost: 69, cost_one: 2, cost_two: 5}]
> [{cost: 69, cost_one: 2, cost_two: 5}]
> [{cost: 69, cost_one: 2, cost_two: 4}]
> [{cost: 69, cost_one: 1, cost_two: 3}]
> [{cost: 68, cost_one: 3, cost_two: 2}]
> [{cost: 68, cost_one: 2, cost_two: 3}]
> [{cost: 68, cost_one: 2, cost_two: 3}]
> [{cost: 67, cost_one: 5, cost_two: 4}]
> [{cost: 67, cost_one: 2, cost_two: 2}]
> [{cost: 67, cost_one: 4, cost_two: 4}]
> [{cost: 66, cost_one: 4, cost_two: 3}]
> [{cost: 66, cost_one: 2, cost_two: 3}]
> [{cost: 66, cost_one: 2, cost_two: 4}]
> [{cost: 66, cost_one: 2, cost_two: 3}]
> [{cost: 66, cost_one: 1, cost_two: 4}]
> [{cost: 66, cost_one: 2, cost_two: 3}]
> [{cost: 66, cost_one: 2, cost_two: 4}]
> [{cost: 66, cost_one: 2, cost_two: 4}]
> [{cost: 66, cost_one: 2, cost_two: 3}]
> [{cost: 66, cost_one: 2, cost_two: 3}]
> [{cost: 66, cost_one: 3, cost_two: 3}]
> [{cost: 66, cost_one: 3, cost_two: 4}]
> [{cost: 66, cost_one: 2, cost_two: 3}]
> [{cost: 66, cost_one: 1, cost_two: 3}]
> [{cost: 66, cost_one: 2, cost_two: 4}]
> [{cost: 65, cost_one: 2, cost_two: 1}]
> [{cost: 65, cost_one: 3, cost_two: 3}]
> [{cost: 65, cost_one: 3, cost_two: 3}]
> [{cost: 65, cost_one: 1, cost_two: 5}]
> [{cost: 65, cost_one: 1, cost_two: 4}]
> [{cost: 65, cost_one: 3, cost_two: 4}]
> [{cost: 64, cost_one: 3, cost_two: 2}]
> [{cost: 64, cost_one: 2, cost_two: 2}]
> [{cost: 64, cost_one: 1, cost_two: 3}]
> [{cost: 64, cost_one: 1, cost_two: 4}]
> [{cost: 63, cost_one: 2, cost_two: 1}]
