> [{cost: 123, cost_one: 3, cost_two: 3}]
> [{cost: 124, cost_one: 3, cost_two: 4}]
> [{cost: 123, cost_one: 4, cost_two: 3}]
> [{cost: 122, cost_one: 3, cost_two: 2}]
> [{cost: 121, cost_one: 2, cost_two: 1}]
> [{cost: 121, cost_one: 3, cost_two: 3}]
> [{cost: 122, cost_one: 3, cost_two: 4}]
> [{cost: 120, cost_one: 5, cost_two: 3}]
> [{cost: 122, cost_one: 2, cost_two: 4}]
> [{cost: 122, cost_one: 3, cost_two: 3}]
> [{cost: 120, cost_one: 5, cost_two: 3}]
> [{cost: 119, cost_one: 5, cost_two: 4}]
> [{cost: 118, cost_one: 4, cost_two: 3}]
> [{cost: 117, cost_one: 3, cost_two: 2}]
> [{cost: 118, cost_one: 3, cost_two: 4}]
> [{cost: 117, cost_one: 3, cost_two: 2}]
> [{cost: 116, cost_one: 4, cost_two: 3}]
> [{cost: 117, cost_one: 3, cost_two: 4}]
> [{cost: 120, cost_one: 2, cost_two: 5}]
> [{cost: 119, cost_one: 4, cost_two: 3}]
> [{cost: 119, cost_one: 4, cost_two: 4}]
> [{cost: 118, cost_one: 4, cost_two: 3}]
> [{cost: 120, cost_one: 2, cost_two: 4}]
> [{cost: 119, cost_one: 4, cost_two: 3}]
> [{cost: 119, cost_one: 3, cost_two: 3}]
> [{cost: 118, cost_one: 4, cost_two: 3}]
> [{cost: 118, cost_one: 2, cost_two: 2}]
> [{cost: 118, cost_one: 3, cost_two: 3}]
> [{cost: 120, cost_one: 1, cost_two: 3}]
> [{cost: 119, cost_one: 3, cost_two: 2}]
> [{cost: 120, cost_one: 5, cost_two: 6}]
> [{cost: 124, cost_one: 2, cost_two: 6}]
> [{cost: 120, cost_one: 6, cost_two: 2}]
> [{cost: 121, cost_one: 3, cost_two: 4}]
> [{cost: 118, cost_one: 6, cost_two: 3}]
> [{cost: 119, cost_one: 2, cost_two: 3}]
> [{cost: 120, cost_one: 5, cost_two: 6}]
> [{cost: 119, cost_one: 3, cost_two: 2}]
> [{cost: 119, cost_one: 3, cost_two: 3}]
> [{cost: 121, cost_one: 1, cost_two: 3}]
> [{cost: 120, cost_one: 4, cost_two: 3}]
> [{cost: 118, cost_one: 5, cost_two: 3}]
> [{cost: 117, cost_one: 4, cost_two: 3}]
> [{cost: 118, cost_one: 3, cost_two: 4}]
> [{cost: 119, cost_one: 3, cost_two: 4}]
> [{cost: 117, cost_one: 4, cost_two: 2}]
> [{cost: 118, cost_one: 3, cost_two: 4}]
> [{cost: 117, cost_one: 5, cost_two: 4}]
> [{cost: 118, cost_one: 3, cost_two: 4}]
> [{cost: 117, cost_one: 4, cost_two: 3}]
> [{cost: 116, cost_one: 4, cost_two: 3}]
> [{cost: 116, cost_one: 3, cost_two: 3}]
> [{cost: 117, cost_one: 3, cost_two: 4}]
> [{cost: 116, cost_one: 2, cost_two: 1}]
> [{cost: 115, cost_one: 3, cost_two: 2}]
> [{cost: 115, cost_one: 2, cost_two: 2}]
> [{cost: 116, cost_one: 2, cost_two: 3}]
> [{cost: 118, cost_one: 3, cost_two: 5}]
> [{cost: 117, cost_one: 5, cost_two: 4}]
> [{cost: 113, cost_one: 4, cost_two: 0}]
> [{cost: 113, cost_one: 3, cost_two: 3}]
> [{cost: 116, cost_one: 3, cost_two: 6}]
> [{cost: 118, cost_one: 2, cost_two: 4}]
> [{cost: 118, cost_one: 5, cost_two: 5}]
> [{cost: 120, cost_one: 2, cost_two: 4}]
> [{cost: 123, cost_one: 3, cost_two: 6}]
> [{cost: 124, cost_one: 4, cost_two: 5}]
> [{cost: 122, cost_one: 6, cost_two: 4}]
> [{cost: 122, cost_one: 3, cost_two: 3}]
> [{cost: 123, cost_one: 4, cost_two: 5}]
> [{cost: 124, cost_one: 3, cost_two: 4}]
> [{cost: 124, cost_one: 2, cost_two: 2}]
> [{cost: 124, cost_one: 4, cost_two: 4}]
> [{cost: 124, cost_one: 4, cost_two: 4}]
> [{cost: 124, cost_one: 4, cost_two: 4}]
