> [{cost: 132, cost_one: 3, cost_two: 1}]
> [{cost: 115, cost_one: 4, cost_two: 2}]
> [{cost: 115, cost_one: 4, cost_two: 4}]
> [{cost: 117, cost_one: 1, cost_two: 3}]
> [{cost: 117, cost_one: 2, cost_two: 2}]
> [{cost: 119, cost_one: 3, cost_two: 5}]
> [{cost: 118, cost_one: 4, cost_two: 3}]
> [{cost: 121, cost_one: 1, cost_two: 4}]
> [{cost: 122, cost_one: 2, cost_two: 3}]
> [{cost: 117, cost_one: 6, cost_two: 1}]
> [{cost: 115, cost_one: 4, cost_two: 2}]
> [{cost: 115, cost_one: 5, cost_two: 5}]
> [{cost: 118, cost_one: 3, cost_two: 6}]
> [{cost: 116, cost_one: 6, cost_two: 4}]
> [{cost: 114, cost_one: 4, cost_two: 2}]
> [{cost: 113, cost_one: 4, cost_two: 3}]
> [{cost: 112, cost_one: 2, cost_two: 1}]
> [{cost: 114, cost_one: 3, cost_two: 5}]
> [{cost: 118, cost_one: 1, cost_two: 5}]
> [{cost: 119, cost_one: 3, cost_two: 4}]
> [{cost: 119, cost_one: 4, cost_two: 4}]
> [{cost: 116, cost_one: 5, cost_two: 2}]
> [{cost: 118, cost_one: 3, cost_two: 5}]
> [{cost: 120, cost_one: 1, cost_two: 3}]
> [{cost: 123, cost_one: 3, cost_two: 6}]
> [{cost: 121, cost_one: 3, cost_two: 1}]
> [{cost: 124, cost_one: 2, cost_two: 5}]
> [{cost: 124, cost_one: 3, cost_two: 3}]
> [{cost: 120, cost_one: 7, cost_two: 3}]
> [{cost: 118, cost_one: 5, cost_two: 3}]
> [{cost: 118, cost_one: 4, cost_two: 4}]
> [{cost: 116, cost_one: 3, cost_two: 1}]
> [{cost: 117, cost_one: 3, cost_two: 4}]
> [{cost: 115, cost_one: 4, cost_two: 2}]
> [{cost: 114, cost_one: 5, cost_two: 4}]
> [{cost: 115, cost_one: 3, cost_two: 4}]
> [{cost: 117, cost_one: 2, cost_two: 4}]
> [{cost: 115, cost_one: 4, cost_two: 2}]
> [{cost: 115, cost_one: 2, cost_two: 2}]
> [{cost: 115, cost_one: 4, cost_two: 4}]
> [{cost: 117, cost_one: 2, cost_two: 4}]
> [{cost: 113, cost_one: 6, cost_two: 2}]
> [{cost: 115, cost_one: 1, cost_two: 3}]
> [{cost: 116, cost_one: 4, cost_two: 5}]
> [{cost: 114, cost_one: 6, cost_two: 4}]
> [{cost: 111, cost_one: 7, cost_two: 4}]
> [{cost: 111, cost_one: 1, cost_two: 5}]
> [{cost: 111, cost_one: 0, cost_two: 3}]
> [{cost: 111, cost_one: 2, cost_two: 5}]
> [{cost: 110, cost_one: 3, cost_two: 2}]
> [{cost: 111, cost_one: 3, cost_two: 4}]
> [{cost: 110, cost_one: 4, cost_two: 3}]
> [{cost: 112, cost_one: 1, cost_two: 3}]
> [{cost: 111, cost_one: 4, cost_two: 3}]
> [{cost: 111, cost_one: 5, cost_two: 5}]
> [{cost: 113, cost_one: 4, cost_two: 6}]
> [{cost: 110, cost_one: 5, cost_two: 2}]
> [{cost: 111, cost_one: 4, cost_two: 5}]
> [{cost: 112, cost_one: 3, cost_two: 4}]
> [{cost: 111, cost_one: 5, cost_two: 4}]
> [{cost: 109, cost_one: 3, cost_two: 1}]
> [{cost: 110, cost_one: 2, cost_two: 3}]
> [{cost: 112, cost_one: 4, cost_two: 6}]
> [{cost: 113, cost_one: 3, cost_two: 4}]
> [{cost: 114, cost_one: 2, cost_two: 3}]
> [{cost: 114, cost_one: 4, cost_two: 4}]
> [{cost: 114, cost_one: 2, cost_two: 2}]
> [{cost: 116, cost_one: 4, cost_two: 6}]
> [{cost: 116, cost_one: 3, cost_two: 3}]
> [{cost: 115, cost_one: 4, cost_two: 3}]
> [{cost: 113, cost_one: 4, cost_two: 2}]
> [{cost: 110, cost_one: 5, cost_two: 2}]
> [{cost: 111, cost_one: 2, cost_two: 3}]
> [{cost: 113, cost_one: 2, cost_two: 4}]
> [{cost: 113, cost_one: 3, cost_two: 6}]
> [{cost: 115, cost_one: 3, cost_two: 5}]
> [{cost: 114, cost_one: 5, cost_two: 4}]
> [{cost: 116, cost_one: 5, cost_two: 7}]
> [{cost: 114, cost_one: 3, cost_two: 1}]
> [{cost: 113, cost_one: 5, cost_two: 4}]
> [{cost: 112, cost_one: 4, cost_two: 3}]
> [{cost: 112, cost_one: 1, cost_two: 5}]
> [{cost: 112, cost_one: 3, cost_two: 3}]
> [{cost: 110, cost_one: 3, cost_two: 1}]
> [{cost: 109, cost_one: 3, cost_two: 2}]
> [{cost: 110, cost_one: 3, cost_two: 4}]
> [{cost: 109, cost_one: 3, cost_two: 2}]
> [{cost: 107, cost_one: 4, cost_two: 2}]
> [{cost: 107, cost_one: 2, cost_two: 5}]
> [{cost: 108, cost_one: 3, cost_two: 4}]
> [{cost: 108, cost_one: 1, cost_two: 4}]
> [{cost: 109, cost_one: 4, cost_two: 5}]
> [{cost: 109, cost_one: 2, cost_two: 2}]
> [{cost: 108, cost_one: 4, cost_two: 3}]
> [{cost: 108, cost_one: 3, cost_two: 3}]
> [{cost: 108, cost_one: 3, cost_two: 3}]
> [{cost: 110, cost_one: 1, cost_two: 3}]
> [{cost: 109, cost_one: 4, cost_two: 3}]
> [{cost: 109, cost_one: 2, cost_two: 2}]
> [{cost: 108, cost_one: 4, cost_two: 3}]
> [{cost: 107, cost_one: 3, cost_two: 2}]
> [{cost: 105, cost_one: 5, cost_two: 3}]
> [{cost: 104, cost_one: 3, cost_two: 2}]
> [{cost: 102, cost_one: 4, cost_two: 2}]
> [{cost: 101, cost_one: 3, cost_two: 2}]
> [{cost: 101, cost_one: 4, cost_two: 4}]
> [{cost: 99, cost_one: 4, cost_two: 2}]
> [{cost: 97, cost_one: 6, cost_two: 4}]
> [{cost: 98, cost_one: 3, cost_two: 4}]
> [{cost: 99, cost_one: 2, cost_two: 3}]
> [{cost: 100, cost_one: 2, cost_two: 3}]
> [{cost: 101, cost_one: 1, cost_two: 2}]
> [{cost: 101, cost_one: 2, cost_two: 2}]
> [{cost: 101, cost_one: 3, cost_two: 3}]
> [{cost: 102, cost_one: 3, cost_two: 4}]
> [{cost: 103, cost_one: 4, cost_two: 5}]
> [{cost: 103, cost_one: 1, cost_two: 6}]
> [{cost: 101, cost_one: 4, cost_two: 2}]
> [{cost: 101, cost_one: 4, cost_two: 6}]
> [{cost: 101, cost_one: 3, cost_two: 3}]
> [{cost: 101, cost_one: 3, cost_two: 3}]
> [{cost: 101, cost_one: 2, cost_two: 4}]
> [{cost: 100, cost_one: 5, cost_two: 4}]
> [{cost: 100, cost_one: 2, cost_two: 4}]
> [{cost: 101, cost_one: 3, cost_two: 4}]
> [{cost: 102, cost_one: 2, cost_two: 3}]
> [{cost: 98, cost_one: 5, cost_two: 1}]
> [{cost: 98, cost_one: 2, cost_two: 5}]
> [{cost: 97, cost_one: 4, cost_two: 3}]
> [{cost: 95, cost_one: 4, cost_two: 2}]
> [{cost: 93, cost_one: 5, cost_two: 3}]
> [{cost: 94, cost_one: 2, cost_two: 3}]
> [{cost: 94, cost_one: 4, cost_two: 4}]
> [{cost: 95, cost_one: 4, cost_two: 5}]
> [{cost: 96, cost_one: 2, cost_two: 3}]
> [{cost: 92, cost_one: 5, cost_two: 1}]
> [{cost: 92, cost_one: 2, cost_two: 2}]
> [{cost: 91, cost_one: 2, cost_two: 1}]
> [{cost: 91, cost_one: 2, cost_two: 5}]
> [{cost: 90, cost_one: 4, cost_two: 3}]
> [{cost: 89, cost_one: 2, cost_two: 1}]
> [{cost: 89, cost_one: 3, cost_two: 3}]
> [{cost: 90, cost_one: 6, cost_two: 7}]
> [{cost: 91, cost_one: 3, cost_two: 4}]
> [{cost: 90, cost_one: 4, cost_two: 3}]
> [{cost: 88, cost_one: 4, cost_two: 2}]
> [{cost: 89, cost_one: 2, cost_two: 3}]
> [{cost: 88, cost_one: 2, cost_two: 1}]
> [{cost: 89, cost_one: 1, cost_two: 2}]
> [{cost: 86, cost_one: 4, cost_two: 1}]
> [{cost: 87, cost_one: 3, cost_two: 4}]
> [{cost: 87, cost_one: 2, cost_two: 4}]
> [{cost: 86, cost_one: 2, cost_two: 1}]
> [{cost: 87, cost_one: 1, cost_two: 2}]
> [{cost: 87, cost_one: 2, cost_two: 2}]
> [{cost: 87, cost_one: 3, cost_two: 6}]
> [{cost: 87, cost_one: 2, cost_two: 2}]
> [{cost: 87, cost_one: 3, cost_two: 5}]
> [{cost: 86, cost_one: 5, cost_two: 4}]
> [{cost: 85, cost_one: 3, cost_two: 2}]
> [{cost: 84, cost_one: 2, cost_two: 1}]
> [{cost: 85, cost_one: 1, cost_two: 2}]
> [{cost: 84, cost_one: 4, cost_two: 3}]
> [{cost: 85, cost_one: 2, cost_two: 3}]
> [{cost: 85, cost_one: 1, cost_two: 3}]
> [{cost: 85, cost_one: 3, cost_two: 3}]
> [{cost: 84, cost_one: 3, cost_two: 2}]
> [{cost: 82, cost_one: 4, cost_two: 2}]
> [{cost: 81, cost_one: 5, cost_two: 4}]
> [{cost: 81, cost_one: 1, cost_two: 5}]
> [{cost: 81, cost_one: 4, cost_two: 4}]
> [{cost: 78, cost_one: 5, cost_two: 2}]
> [{cost: 78, cost_one: 3, cost_two: 6}]
> [{cost: 78, cost_one: 2, cost_two: 2}]
> [{cost: 78, cost_one: 2, cost_two: 2}]
> [{cost: 77, cost_one: 4, cost_two: 3}]
> [{cost: 77, cost_one: 2, cost_two: 5}]
> [{cost: 77, cost_one: 3, cost_two: 3}]
> [{cost: 77, cost_one: 4, cost_two: 4}]
> [{cost: 77, cost_one: 2, cost_two: 4}]
> [{cost: 78, cost_one: 3, cost_two: 4}]
> [{cost: 78, cost_one: 4, cost_two: 4}]
> [{cost: 77, cost_one: 4, cost_two: 3}]
> [{cost: 78, cost_one: 2, cost_two: 3}]
> [{cost: 78, cost_one: 3, cost_two: 3}]
> [{cost: 79, cost_one: 2, cost_two: 3}]
> [{cost: 79, cost_one: 2, cost_two: 4}]
> [{cost: 79, cost_one: 3, cost_two: 3}]
> [{cost: 79, cost_one: 4, cost_two: 4}]
> [{cost: 78, cost_one: 3, cost_two: 2}]
> [{cost: 77, cost_one: 4, cost_two: 3}]
> [{cost: 78, cost_one: 5, cost_two: 6}]
> [{cost: 79, cost_one: 3, cost_two: 4}]
> [{cost: 79, cost_one: 3, cost_two: 3}]
> [{cost: 79, cost_one: 0, cost_two: 3}]
> [{cost: 78, cost_one: 5, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 5}]
> [{cost: 78, cost_one: 2, cost_two: 6}]
> [{cost: 79, cost_one: 4, cost_two: 5}]
> [{cost: 79, cost_one: 4, cost_two: 5}]
> [{cost: 79, cost_one: 2, cost_two: 3}]
> [{cost: 78, cost_one: 5, cost_two: 4}]
> [{cost: 78, cost_one: 3, cost_two: 3}]
> [{cost: 77, cost_one: 3, cost_two: 2}]
> [{cost: 77, cost_one: 3, cost_two: 5}]
> [{cost: 77, cost_one: 4, cost_two: 5}]
> [{cost: 77, cost_one: 1, cost_two: 4}]
> [{cost: 77, cost_one: 2, cost_two: 2}]
> [{cost: 77, cost_one: 3, cost_two: 4}]
> [{cost: 77, cost_one: 2, cost_two: 4}]
> [{cost: 77, cost_one: 2, cost_two: 3}]
> [{cost: 76, cost_one: 2, cost_two: 1}]
> [{cost: 76, cost_one: 3, cost_two: 3}]
> [{cost: 75, cost_one: 4, cost_two: 3}]
> [{cost: 75, cost_one: 2, cost_two: 3}]
> [{cost: 75, cost_one: 2, cost_two: 3}]
> [{cost: 75, cost_one: 2, cost_two: 3}]
> [{cost: 75, cost_one: 3, cost_two: 4}]
> [{cost: 74, cost_one: 4, cost_two: 3}]
> [{cost: 74, cost_one: 3, cost_two: 3}]
> [{cost: 74, cost_one: 1, cost_two: 3}]
> [{cost: 74, cost_one: 3, cost_two: 4}]
> [{cost: 74, cost_one: 3, cost_two: 3}]
> [{cost: 74, cost_one: 1, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 3, cost_two: 4}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 73, cost_one: 5, cost_two: 4}]
> [{cost: 73, cost_one: 1, cost_two: 5}]
> [{cost: 73, cost_one: 2, cost_two: 3}]
> [{cost: 73, cost_one: 3, cost_two: 4}]
> [{cost: 73, cost_one: 3, cost_two: 5}]
> [{cost: 73, cost_one: 4, cost_two: 4}]
> [{cost: 73, cost_one: 1, cost_two: 2}]
> [{cost: 72, cost_one: 6, cost_two: 5}]
> [{cost: 70, cost_one: 4, cost_two: 2}]
> [{cost: 70, cost_one: 3, cost_two: 3}]
> [{cost: 70, cost_one: 4, cost_two: 4}]
> [{cost: 70, cost_one: 3, cost_two: 6}]
> [{cost: 70, cost_one: 3, cost_two: 3}]
> [{cost: 70, cost_one: 1, cost_two: 3}]
> [{cost: 70, cost_one: 2, cost_two: 2}]
> [{cost: 70, cost_one: 2, cost_two: 3}]
> [{cost: 70, cost_one: 2, cost_two: 2}]
> [{cost: 70, cost_one: 3, cost_two: 3}]
> [{cost: 70, cost_one: 3, cost_two: 4}]
> [{cost: 70, cost_one: 3, cost_two: 3}]
> [{cost: 70, cost_one: 2, cost_two: 4}]
> [{cost: 70, cost_one: 4, cost_two: 4}]
> [{cost: 69, cost_one: 4, cost_two: 3}]
> [{cost: 68, cost_one: 3, cost_two: 2}]
> [{cost: 68, cost_one: 2, cost_two: 3}]
> [{cost: 68, cost_one: 4, cost_two: 4}]
> [{cost: 68, cost_one: 3, cost_two: 3}]
> [{cost: 65, cost_one: 4, cost_two: 1}]
> [{cost: 65, cost_one: 2, cost_two: 4}]
> [{cost: 65, cost_one: 3, cost_two: 4}]
> [{cost: 65, cost_one: 3, cost_two: 3}]
> [{cost: 65, cost_one: 3, cost_two: 3}]
> [{cost: 65, cost_one: 2, cost_two: 4}]
> [{cost: 64, cost_one: 2, cost_two: 1}]
> [{cost: 64, cost_one: 3, cost_two: 4}]
> [{cost: 63, cost_one: 4, cost_two: 3}]
> [{cost: 63, cost_one: 2, cost_two: 4}]
> [{cost: 62, cost_one: 3, cost_two: 2}]
> [{cost: 62, cost_one: 2, cost_two: 3}]
> [{cost: 61, cost_one: 4, cost_two: 3}]
> [{cost: 61, cost_one: 3, cost_two: 6}]
> [{cost: 61, cost_one: 3, cost_two: 4}]
> [{cost: 61, cost_one: 3, cost_two: 5}]
> [{cost: 61, cost_one: 2, cost_two: 4}]
> [{cost: 61, cost_one: 2, cost_two: 3}]
> [{cost: 61, cost_one: 1, cost_two: 2}]
> [{cost: 61, cost_one: 2, cost_two: 3}]
> [{cost: 61, cost_one: 3, cost_two: 4}]
> [{cost: 61, cost_one: 2, cost_two: 4}]
> [{cost: 60, cost_one: 3, cost_two: 2}]
> [{cost: 60, cost_one: 1, cost_two: 2}]
> [{cost: 60, cost_one: 3, cost_two: 4}]
> [{cost: 60, cost_one: 2, cost_two: 4}]
> [{cost: 60, cost_one: 2, cost_two: 2}]
> [{cost: 60, cost_one: 3, cost_two: 3}]
> [{cost: 60, cost_one: 1, cost_two: 4}]
> [{cost: 60, cost_one: 2, cost_two: 2}]
> [{cost: 60, cost_one: 1, cost_two: 4}]
> [{cost: 59, cost_one: 4, cost_two: 3}]
> [{cost: 59, cost_one: 3, cost_two: 4}]
> [{cost: 58, cost_one: 2, cost_two: 1}]
> [{cost: 57, cost_one: 3, cost_two: 2}]
> [{cost: 57, cost_one: 3, cost_two: 4}]
> [{cost: 57, cost_one: 1, cost_two: 2}]
> [{cost: 56, cost_one: 4, cost_two: 3}]
> [{cost: 56, cost_one: 2, cost_two: 2}]
> [{cost: 55, cost_one: 3, cost_two: 2}]
> [{cost: 55, cost_one: 3, cost_two: 4}]
> [{cost: 55, cost_one: 2, cost_two: 4}]
> [{cost: 55, cost_one: 3, cost_two: 4}]
> [{cost: 55, cost_one: 3, cost_two: 5}]
> [{cost: 55, cost_one: 1, cost_two: 6}]
> [{cost: 55, cost_one: 3, cost_two: 3}]
> [{cost: 55, cost_one: 3, cost_two: 4}]
> [{cost: 55, cost_one: 2, cost_two: 2}]
> [{cost: 55, cost_one: 3, cost_two: 4}]
> [{cost: 55, cost_one: 3, cost_two: 5}]
> [{cost: 54, cost_one: 3, cost_two: 2}]
> [{cost: 54, cost_one: 2, cost_two: 4}]
> [{cost: 54, cost_one: 4, cost_two: 4}]
> [{cost: 54, cost_one: 3, cost_two: 4}]
> [{cost: 54, cost_one: 2, cost_two: 2}]
> [{cost: 54, cost_one: 3, cost_two: 4}]
> [{cost: 54, cost_one: 3, cost_two: 3}]
> [{cost: 54, cost_one: 2, cost_two: 2}]
> [{cost: 54, cost_one: 3, cost_two: 4}]
> [{cost: 54, cost_one: 4, cost_two: 4}]
> [{cost: 54, cost_one: 2, cost_two: 4}]
> [{cost: 54, cost_one: 2, cost_two: 2}]
> [{cost: 54, cost_one: 2, cost_two: 4}]
> [{cost: 54, cost_one: 4, cost_two: 5}]
> [{cost: 54, cost_one: 2, cost_two: 2}]
> [{cost: 54, cost_one: 3, cost_two: 4}]
> [{cost: 54, cost_one: 3, cost_two: 5}]
> [{cost: 54, cost_one: 3, cost_two: 4}]
> [{cost: 54, cost_one: 3, cost_two: 3}]
> [{cost: 54, cost_one: 3, cost_two: 3}]
> [{cost: 54, cost_one: 3, cost_two: 3}]
> [{cost: 54, cost_one: 2, cost_two: 4}]
> [{cost: 53, cost_one: 4, cost_two: 3}]
> [{cost: 53, cost_one: 3, cost_two: 3}]
> [{cost: 52, cost_one: 4, cost_two: 3}]
> [{cost: 52, cost_one: 4, cost_two: 5}]
> [{cost: 52, cost_one: 2, cost_two: 4}]
> [{cost: 52, cost_one: 2, cost_two: 4}]
> [{cost: 52, cost_one: 2, cost_two: 3}]
> [{cost: 52, cost_one: 3, cost_two: 4}]
> [{cost: 52, cost_one: 4, cost_two: 5}]
> [{cost: 52, cost_one: 3, cost_two: 3}]
> [{cost: 52, cost_one: 3, cost_two: 3}]
> [{cost: 52, cost_one: 3, cost_two: 5}]
> [{cost: 52, cost_one: 2, cost_two: 2}]
> [{cost: 52, cost_one: 2, cost_two: 5}]
> [{cost: 52, cost_one: 1, cost_two: 2}]
> [{cost: 52, cost_one: 4, cost_two: 4}]
> [{cost: 52, cost_one: 2, cost_two: 4}]
> [{cost: 52, cost_one: 2, cost_two: 2}]
> [{cost: 52, cost_one: 2, cost_two: 3}]
> [{cost: 52, cost_one: 4, cost_two: 4}]
> [{cost: 52, cost_one: 1, cost_two: 4}]
> [{cost: 52, cost_one: 2, cost_two: 2}]
> [{cost: 52, cost_one: 2, cost_two: 2}]
> [{cost: 52, cost_one: 2, cost_two: 5}]
> [{cost: 52, cost_one: 4, cost_two: 5}]
> [{cost: 52, cost_one: 3, cost_two: 3}]
> [{cost: 52, cost_one: 2, cost_two: 3}]
> [{cost: 52, cost_one: 1, cost_two: 3}]
> [{cost: 50, cost_one: 3, cost_two: 1}]
> [{cost: 50, cost_one: 2, cost_two: 4}]
> [{cost: 50, cost_one: 3, cost_two: 3}]
> [{cost: 50, cost_one: 3, cost_two: 3}]
> [{cost: 50, cost_one: 3, cost_two: 4}]
> [{cost: 50, cost_one: 3, cost_two: 3}]
> [{cost: 50, cost_one: 2, cost_two: 2}]
> [{cost: 50, cost_one: 3, cost_two: 3}]
> [{cost: 50, cost_one: 2, cost_two: 3}]
> [{cost: 50, cost_one: 2, cost_two: 2}]
> [{cost: 50, cost_one: 3, cost_two: 5}]
> [{cost: 50, cost_one: 2, cost_two: 3}]
> [{cost: 50, cost_one: 2, cost_two: 4}]
> [{cost: 50, cost_one: 1, cost_two: 4}]
> [{cost: 49, cost_one: 2, cost_two: 1}]
> [{cost: 49, cost_one: 2, cost_two: 3}]
> [{cost: 49, cost_one: 1, cost_two: 4}]
> [{cost: 49, cost_one: 1, cost_two: 4}]
> [{cost: 49, cost_one: 1, cost_two: 3}]
> [{cost: 49, cost_one: 3, cost_two: 5}]
> [{cost: 49, cost_one: 3, cost_two: 4}]
> [{cost: 48, cost_one: 5, cost_two: 4}]
> [{cost: 48, cost_one: 1, cost_two: 3}]
> [{cost: 47, cost_one: 3, cost_two: 2}]
> [{cost: 47, cost_one: 1, cost_two: 4}]
> [{cost: 47, cost_one: 3, cost_two: 5}]
> [{cost: 47, cost_one: 2, cost_two: 2}]
> [{cost: 47, cost_one: 2, cost_two: 2}]
> [{cost: 47, cost_one: 2, cost_two: 4}]
> [{cost: 47, cost_one: 2, cost_two: 3}]
> [{cost: 47, cost_one: 4, cost_two: 4}]
> [{cost: 47, cost_one: 2, cost_two: 5}]
> [{cost: 47, cost_one: 2, cost_two: 2}]
> [{cost: 47, cost_one: 3, cost_two: 3}]
> [{cost: 47, cost_one: 2, cost_two: 3}]
> [{cost: 46, cost_one: 3, cost_two: 2}]
> [{cost: 46, cost_one: 2, cost_two: 6}]
> [{cost: 46, cost_one: 1, cost_two: 4}]
> [{cost: 46, cost_one: 3, cost_two: 5}]
> [{cost: 46, cost_one: 2, cost_two: 5}]
> [{cost: 46, cost_one: 4, cost_two: 4}]
> [{cost: 46, cost_one: 4, cost_two: 5}]
> [{cost: 46, cost_one: 3, cost_two: 5}]
> [{cost: 46, cost_one: 2, cost_two: 3}]
> [{cost: 46, cost_one: 2, cost_two: 4}]
> [{cost: 45, cost_one: 4, cost_two: 3}]
> [{cost: 45, cost_one: 2, cost_two: 4}]
> [{cost: 45, cost_one: 2, cost_two: 3}]
> [{cost: 44, cost_one: 3, cost_two: 2}]
> [{cost: 44, cost_one: 1, cost_two: 3}]
> [{cost: 44, cost_one: 3, cost_two: 3}]
> [{cost: 44, cost_one: 2, cost_two: 4}]
> [{cost: 44, cost_one: 2, cost_two: 3}]
> [{cost: 44, cost_one: 2, cost_two: 3}]
> [{cost: 44, cost_one: 4, cost_two: 4}]
> [{cost: 43, cost_one: 3, cost_two: 2}]
> [{cost: 43, cost_one: 2, cost_two: 2}]
> [{cost: 41, cost_one: 3, cost_two: 1}]
> [{cost: 40, cost_one: 4, cost_two: 3}]
> [{cost: 40, cost_one: 2, cost_two: 5}]
> [{cost: 40, cost_one: 2, cost_two: 3}]
> [{cost: 40, cost_one: 2, cost_two: 4}]
> [{cost: 40, cost_one: 1, cost_two: 3}]
> [{cost: 40, cost_one: 3, cost_two: 4}]
> [{cost: 40, cost_one: 2, cost_two: 4}]
> [{cost: 40, cost_one: 2, cost_two: 3}]
> [{cost: 40, cost_one: 2, cost_two: 2}]
> [{cost: 40, cost_one: 1, cost_two: 2}]
> [{cost: 40, cost_one: 3, cost_two: 3}]
> [{cost: 40, cost_one: 2, cost_two: 4}]
> [{cost: 40, cost_one: 2, cost_two: 3}]
> [{cost: 40, cost_one: 3, cost_two: 4}]
> [{cost: 40, cost_one: 3, cost_two: 4}]
> [{cost: 40, cost_one: 1, cost_two: 3}]
> [{cost: 40, cost_one: 1, cost_two: 2}]
> [{cost: 40, cost_one: 2, cost_two: 2}]
> [{cost: 40, cost_one: 2, cost_two: 5}]
> [{cost: 40, cost_one: 2, cost_two: 2}]
> [{cost: 40, cost_one: 3, cost_two: 4}]
> [{cost: 39, cost_one: 3, cost_two: 2}]
> [{cost: 39, cost_one: 2, cost_two: 3}]
> [{cost: 39, cost_one: 2, cost_two: 4}]
> [{cost: 39, cost_one: 2, cost_two: 4}]
> [{cost: 39, cost_one: 2, cost_two: 2}]
> [{cost: 39, cost_one: 2, cost_two: 3}]
> [{cost: 39, cost_one: 3, cost_two: 5}]
> [{cost: 39, cost_one: 2, cost_two: 4}]
> [{cost: 39, cost_one: 3, cost_two: 4}]
> [{cost: 39, cost_one: 1, cost_two: 4}]
> [{cost: 39, cost_one: 2, cost_two: 5}]
> [{cost: 38, cost_one: 3, cost_two: 2}]
> [{cost: 38, cost_one: 1, cost_two: 3}]
> [{cost: 38, cost_one: 3, cost_two: 4}]
> [{cost: 38, cost_one: 2, cost_two: 2}]
> [{cost: 38, cost_one: 2, cost_two: 4}]
> [{cost: 38, cost_one: 2, cost_two: 4}]
> [{cost: 37, cost_one: 3, cost_two: 2}]
> [{cost: 37, cost_one: 2, cost_two: 4}]
> [{cost: 37, cost_one: 1, cost_two: 3}]
> [{cost: 37, cost_one: 3, cost_two: 3}]
> [{cost: 37, cost_one: 2, cost_two: 6}]
> [{cost: 37, cost_one: 2, cost_two: 3}]
> [{cost: 37, cost_one: 2, cost_two: 3}]
> [{cost: 37, cost_one: 2, cost_two: 4}]
> [{cost: 37, cost_one: 3, cost_two: 3}]
> [{cost: 37, cost_one: 3, cost_two: 4}]
> [{cost: 37, cost_one: 1, cost_two: 4}]
> [{cost: 37, cost_one: 3, cost_two: 4}]
> [{cost: 37, cost_one: 1, cost_two: 1}]
> [{cost: 37, cost_one: 1, cost_two: 3}]
> [{cost: 37, cost_one: 3, cost_two: 4}]
> [{cost: 37, cost_one: 3, cost_two: 3}]
> [{cost: 37, cost_one: 2, cost_two: 5}]
> [{cost: 37, cost_one: 1, cost_two: 4}]
> [{cost: 37, cost_one: 3, cost_two: 5}]
> [{cost: 37, cost_one: 4, cost_two: 4}]
> [{cost: 37, cost_one: 3, cost_two: 4}]
> [{cost: 37, cost_one: 3, cost_two: 4}]
> [{cost: 37, cost_one: 2, cost_two: 6}]
