> [{cost: 188, cost_one: 2, cost_two: 4, cost_comp: 188}]
> [{cost: 167, cost_one: 0, cost_two: 1, cost_comp: 167}]
> [{cost: 145, cost_one: 3, cost_two: 2, cost_comp: 145}]
> [{cost: 134, cost_one: 2, cost_two: 3, cost_comp: 135}]
> [{cost: 127, cost_one: 1, cost_two: 3, cost_comp: 129}]
> [{cost: 124, cost_one: 2, cost_two: 4, cost_comp: 126}]
> [{cost: 121, cost_one: 0, cost_two: 3, cost_comp: 124}]
> [{cost: 119, cost_one: 0, cost_two: 3, cost_comp: 122}]
> [{cost: 117, cost_one: 2, cost_two: 2, cost_comp: 117}]
> [{cost: 112, cost_one: 1, cost_two: 3, cost_comp: 114}]
> [{cost: 110, cost_one: 2, cost_two: 1, cost_comp: 110}]
> [{cost: 108, cost_one: 0, cost_two: 4, cost_comp: 112}]
> [{cost: 107, cost_one: 0, cost_two: 4, cost_comp: 111}]
> [{cost: 106, cost_one: 1, cost_two: 3, cost_comp: 108}]
> [{cost: 106, cost_one: 2, cost_two: 2, cost_comp: 106}]
> [{cost: 106, cost_one: 0, cost_two: 2, cost_comp: 108}]
> [{cost: 106, cost_one: 0, cost_two: 3, cost_comp: 109}]
> [{cost: 105, cost_one: 0, cost_two: 4, cost_comp: 109}]
> [{cost: 105, cost_one: 1, cost_two: 2, cost_comp: 106}]
> [{cost: 105, cost_one: 0, cost_two: 3, cost_comp: 108}]
> [{cost: 105, cost_one: 1, cost_two: 3, cost_comp: 107}]
> [{cost: 105, cost_one: 2, cost_two: 3, cost_comp: 106}]
> [{cost: 105, cost_one: 1, cost_two: 3, cost_comp: 107}]
> [{cost: 105, cost_one: 0, cost_two: 4, cost_comp: 109}]
> [{cost: 105, cost_one: 0, cost_two: 3, cost_comp: 108}]
> [{cost: 104, cost_one: 0, cost_two: 5, cost_comp: 109}]
> [{cost: 104, cost_one: 0, cost_two: 4, cost_comp: 108}]
> [{cost: 104, cost_one: 0, cost_two: 4, cost_comp: 108}]
> [{cost: 104, cost_one: 1, cost_two: 3, cost_comp: 106}]
> [{cost: 104, cost_one: 1, cost_two: 4, cost_comp: 107}]
> [{cost: 104, cost_one: 0, cost_two: 3, cost_comp: 107}]
> [{cost: 104, cost_one: 0, cost_two: 1, cost_comp: 105}]
> [{cost: 104, cost_one: 1, cost_two: 3, cost_comp: 106}]
> [{cost: 104, cost_one: 1, cost_two: 3, cost_comp: 106}]
> [{cost: 103, cost_one: 0, cost_two: 3, cost_comp: 106}]
> [{cost: 103, cost_one: 1, cost_two: 3, cost_comp: 105}]
> [{cost: 103, cost_one: 0, cost_two: 3, cost_comp: 106}]
> [{cost: 103, cost_one: 0, cost_two: 3, cost_comp: 106}]
> [{cost: 103, cost_one: 0, cost_two: 3, cost_comp: 106}]
> [{cost: 103, cost_one: 0, cost_two: 2, cost_comp: 105}]
> [{cost: 103, cost_one: 0, cost_two: 3, cost_comp: 106}]
> [{cost: 103, cost_one: 0, cost_two: 3, cost_comp: 106}]
> [{cost: 103, cost_one: 0, cost_two: 3, cost_comp: 106}]
> [{cost: 102, cost_one: 0, cost_two: 3, cost_comp: 105}]
> [{cost: 102, cost_one: 0, cost_two: 3, cost_comp: 105}]
> [{cost: 102, cost_one: 0, cost_two: 4, cost_comp: 106}]
> [{cost: 101, cost_one: 1, cost_two: 2, cost_comp: 102}]
> [{cost: 101, cost_one: 1, cost_two: 4, cost_comp: 104}]
> [{cost: 101, cost_one: 0, cost_two: 3, cost_comp: 104}]
> [{cost: 101, cost_one: 1, cost_two: 3, cost_comp: 103}]
> [{cost: 101, cost_one: 2, cost_two: 3, cost_comp: 102}]
> [{cost: 101, cost_one: 0, cost_two: 3, cost_comp: 104}]
> [{cost: 101, cost_one: 0, cost_two: 3, cost_comp: 104}]
> [{cost: 100, cost_one: 0, cost_two: 3, cost_comp: 103}]
> [{cost: 100, cost_one: 0, cost_two: 4, cost_comp: 104}]
