> [{cost: 99, cost_one: 3, cost_two: 1, cost_comp: 99, temperature: 810.000000}]
> [{cost: 70, cost_one: 3, cost_two: 4, cost_comp: 70, temperature: 0.998650}]
> [{cost: 53, cost_one: 1, cost_two: 3, cost_comp: 55, temperature: 0.499633}]
> [{cost: 34, cost_one: 0, cost_two: 3, cost_comp: 37, temperature: 0.333157}]
> [{cost: 24, cost_one: 0, cost_two: 3, cost_comp: 27, temperature: 0.249893}]
> [{cost: 20, cost_one: 0, cost_two: 3, cost_comp: 23, temperature: 0.199927}]
> [{cost: 19, cost_one: 0, cost_two: 4, cost_comp: 23, temperature: 0.166613}]
> [{cost: 17, cost_one: 0, cost_two: 2, cost_comp: 19, temperature: 0.142815}]
> [{cost: 13, cost_one: 0, cost_two: 2, cost_comp: 15, temperature: 0.124966}]
> [{cost: 13, cost_one: 0, cost_two: 3, cost_comp: 16, temperature: 0.111083}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.099976}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.090888}]
> [{cost: 11, cost_one: 1, cost_two: 4, cost_comp: 14, temperature: 0.083315}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.076907}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.071414}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.066653}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.062488}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.058812}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.055545}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.052622}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.049991}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.047611}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.045447}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.043471}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.041660}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.039993}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.038455}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.037031}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.035709}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.034477}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.033328}]
> [{cost: 10, cost_one: 1, cost_two: 2, cost_comp: 11, temperature: 0.032253}]
> [{cost: 10, cost_one: 0, cost_two: 1, cost_comp: 11, temperature: 0.031245}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.030298}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.029407}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.028567}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.027774}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.027023}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.026312}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.025637}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.024996}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.024387}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.023806}]
> [{cost: 10, cost_one: 0, cost_two: 4, cost_comp: 14, temperature: 0.023252}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.022724}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.022219}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.021736}]
> [{cost: 10, cost_one: 1, cost_two: 2, cost_comp: 11, temperature: 0.021274}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.020830}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.020405}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.019997}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.019605}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.019228}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.018865}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.018516}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.018179}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.017855}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.017541}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.017239}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.016947}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.016664}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.016391}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.016127}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.015871}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.015623}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.015383}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.015149}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.014923}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.014704}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.014491}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.014284}]
> [{cost: 10, cost_one: 1, cost_two: 4, cost_comp: 13, temperature: 0.014083}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.013887}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.013697}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.013512}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.013332}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.013156}]
> [{cost: 10, cost_one: 0, cost_two: 5, cost_comp: 15, temperature: 0.012985}]
> [{cost: 10, cost_one: 0, cost_two: 1, cost_comp: 11, temperature: 0.012819}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.012657}]
> [{cost: 10, cost_one: 0, cost_two: 2, cost_comp: 12, temperature: 0.012498}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.012344}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.012194}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.012047}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.011903}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.011763}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.011626}]
> [{cost: 10, cost_one: 1, cost_two: 2, cost_comp: 11, temperature: 0.011493}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.011362}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.011234}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.011110}]
> [{cost: 10, cost_one: 1, cost_two: 3, cost_comp: 12, temperature: 0.010988}]
> [{cost: 10, cost_one: 0, cost_two: 3, cost_comp: 13, temperature: 0.010868}]
