> [{cost: 203, cost_one: 2, cost_two: 3, cost_comp: 203}]
> [{cost: 174, cost_one: 2, cost_two: 1, cost_comp: 174}]
> [{cost: 164, cost_one: 2, cost_two: 2, cost_comp: 164}]
> [{cost: 140, cost_one: 1, cost_two: 1, cost_comp: 140}]
> [{cost: 133, cost_one: 0, cost_two: 3, cost_comp: 136}]
> [{cost: 130, cost_one: 0, cost_two: 4, cost_comp: 134}]
> [{cost: 128, cost_one: 2, cost_two: 3, cost_comp: 129}]
> [{cost: 127, cost_one: 1, cost_two: 2, cost_comp: 128}]
> [{cost: 126, cost_one: 1, cost_two: 3, cost_comp: 128}]
> [{cost: 122, cost_one: 0, cost_two: 2, cost_comp: 124}]
> [{cost: 122, cost_one: 0, cost_two: 2, cost_comp: 124}]
> [{cost: 120, cost_one: 0, cost_two: 3, cost_comp: 123}]
> [{cost: 119, cost_one: 0, cost_two: 2, cost_comp: 121}]
> [{cost: 119, cost_one: 2, cost_two: 2, cost_comp: 119}]
> [{cost: 117, cost_one: 0, cost_two: 2, cost_comp: 119}]
> [{cost: 117, cost_one: 0, cost_two: 3, cost_comp: 120}]
> [{cost: 117, cost_one: 0, cost_two: 3, cost_comp: 120}]
> [{cost: 117, cost_one: 1, cost_two: 3, cost_comp: 119}]
> [{cost: 117, cost_one: 2, cost_two: 4, cost_comp: 119}]
> [{cost: 117, cost_one: 1, cost_two: 3, cost_comp: 119}]
> [{cost: 117, cost_one: 0, cost_two: 3, cost_comp: 120}]
> [{cost: 117, cost_one: 1, cost_two: 5, cost_comp: 121}]
> [{cost: 115, cost_one: 0, cost_two: 3, cost_comp: 118}]
> [{cost: 115, cost_one: 1, cost_two: 3, cost_comp: 117}]
> [{cost: 115, cost_one: 0, cost_two: 2, cost_comp: 117}]
> [{cost: 115, cost_one: 0, cost_two: 3, cost_comp: 118}]
> [{cost: 115, cost_one: 0, cost_two: 4, cost_comp: 119}]
> [{cost: 115, cost_one: 1, cost_two: 3, cost_comp: 117}]
> [{cost: 115, cost_one: 0, cost_two: 3, cost_comp: 118}]
> [{cost: 114, cost_one: 0, cost_two: 3, cost_comp: 117}]
> [{cost: 114, cost_one: 1, cost_two: 2, cost_comp: 115}]
> [{cost: 111, cost_one: 0, cost_two: 3, cost_comp: 114}]
> [{cost: 111, cost_one: 0, cost_two: 3, cost_comp: 114}]
> [{cost: 111, cost_one: 0, cost_two: 4, cost_comp: 115}]
> [{cost: 110, cost_one: 0, cost_two: 4, cost_comp: 114}]
> [{cost: 110, cost_one: 0, cost_two: 4, cost_comp: 114}]
