> [{cost: 118, cost_one: 1, cost_two: 5, cost_comp: 118}]
> [{cost: 118, cost_one: 3, cost_two: 3, cost_comp: 118}]
> [{cost: 119, cost_one: 2, cost_two: 3, cost_comp: 119}]
> [{cost: 117, cost_one: 4, cost_two: 2, cost_comp: 117}]
> [{cost: 121, cost_one: 1, cost_two: 5, cost_comp: 121}]
> [{cost: 119, cost_one: 7, cost_two: 5, cost_comp: 119}]
> [{cost: 117, cost_one: 6, cost_two: 4, cost_comp: 117}]
> [{cost: 121, cost_one: 2, cost_two: 6, cost_comp: 121}]
> [{cost: 120, cost_one: 2, cost_two: 1, cost_comp: 120}]
> [{cost: 117, cost_one: 4, cost_two: 1, cost_comp: 117}]
> [{cost: 120, cost_one: 1, cost_two: 4, cost_comp: 120}]
> [{cost: 121, cost_one: 3, cost_two: 4, cost_comp: 121}]
> [{cost: 119, cost_one: 4, cost_two: 2, cost_comp: 119}]
> [{cost: 118, cost_one: 3, cost_two: 2, cost_comp: 118}]
> [{cost: 119, cost_one: 1, cost_two: 2, cost_comp: 119}]
> [{cost: 111, cost_one: 9, cost_two: 1, cost_comp: 111}]
> [{cost: 113, cost_one: 2, cost_two: 4, cost_comp: 113}]
> [{cost: 113, cost_one: 4, cost_two: 4, cost_comp: 113}]
> [{cost: 114, cost_one: 2, cost_two: 3, cost_comp: 114}]
> [{cost: 115, cost_one: 3, cost_two: 4, cost_comp: 115}]
> [{cost: 117, cost_one: 4, cost_two: 6, cost_comp: 117}]
> [{cost: 114, cost_one: 4, cost_two: 1, cost_comp: 114}]
> [{cost: 115, cost_one: 2, cost_two: 3, cost_comp: 115}]
> [{cost: 113, cost_one: 5, cost_two: 3, cost_comp: 113}]
> [{cost: 112, cost_one: 3, cost_two: 2, cost_comp: 112}]
> [{cost: 115, cost_one: 0, cost_two: 3, cost_comp: 115}]
> [{cost: 116, cost_one: 2, cost_two: 3, cost_comp: 116}]
> [{cost: 116, cost_one: 3, cost_two: 3, cost_comp: 116}]
> [{cost: 118, cost_one: 1, cost_two: 3, cost_comp: 118}]
> [{cost: 118, cost_one: 2, cost_two: 2, cost_comp: 118}]
> [{cost: 115, cost_one: 5, cost_two: 2, cost_comp: 115}]
> [{cost: 114, cost_one: 3, cost_two: 2, cost_comp: 114}]
> [{cost: 115, cost_one: 3, cost_two: 4, cost_comp: 115}]
> [{cost: 111, cost_one: 4, cost_two: 0, cost_comp: 111}]
> [{cost: 109, cost_one: 5, cost_two: 3, cost_comp: 109}]
> [{cost: 110, cost_one: 2, cost_two: 3, cost_comp: 110}]
> [{cost: 112, cost_one: 3, cost_two: 5, cost_comp: 112}]
> [{cost: 111, cost_one: 1, cost_two: 0, cost_comp: 111}]
> [{cost: 110, cost_one: 2, cost_two: 1, cost_comp: 110}]
> [{cost: 109, cost_one: 2, cost_two: 1, cost_comp: 109}]
> [{cost: 112, cost_one: 1, cost_two: 4, cost_comp: 112}]
> [{cost: 114, cost_one: 3, cost_two: 5, cost_comp: 114}]
> [{cost: 106, cost_one: 8, cost_two: 0, cost_comp: 106}]
> [{cost: 105, cost_one: 2, cost_two: 1, cost_comp: 105}]
> [{cost: 107, cost_one: 0, cost_two: 2, cost_comp: 107}]
> [{cost: 104, cost_one: 4, cost_two: 1, cost_comp: 104}]
> [{cost: 105, cost_one: 1, cost_two: 2, cost_comp: 105}]
> [{cost: 103, cost_one: 5, cost_two: 3, cost_comp: 103}]
> [{cost: 99, cost_one: 5, cost_two: 1, cost_comp: 99}]
> [{cost: 100, cost_one: 1, cost_two: 2, cost_comp: 100}]
> [{cost: 99, cost_one: 3, cost_two: 2, cost_comp: 99}]
> [{cost: 99, cost_one: 3, cost_two: 3, cost_comp: 99}]
> [{cost: 99, cost_one: 2, cost_two: 2, cost_comp: 99}]
> [{cost: 103, cost_one: 1, cost_two: 5, cost_comp: 103}]
> [{cost: 104, cost_one: 4, cost_two: 5, cost_comp: 104}]
> [{cost: 103, cost_one: 2, cost_two: 1, cost_comp: 103}]
> [{cost: 103, cost_one: 4, cost_two: 4, cost_comp: 103}]
> [{cost: 105, cost_one: 0, cost_two: 2, cost_comp: 105}]
> [{cost: 106, cost_one: 2, cost_two: 3, cost_comp: 106}]
> [{cost: 103, cost_one: 5, cost_two: 2, cost_comp: 103}]
> [{cost: 104, cost_one: 2, cost_two: 3, cost_comp: 104}]
> [{cost: 104, cost_one: 3, cost_two: 3, cost_comp: 104}]
> [{cost: 101, cost_one: 5, cost_two: 2, cost_comp: 101}]
> [{cost: 102, cost_one: 1, cost_two: 2, cost_comp: 102}]
> [{cost: 103, cost_one: 3, cost_two: 4, cost_comp: 103}]
> [{cost: 104, cost_one: 2, cost_two: 3, cost_comp: 104}]
> [{cost: 104, cost_one: 2, cost_two: 2, cost_comp: 104}]
> [{cost: 103, cost_one: 3, cost_two: 2, cost_comp: 103}]
> [{cost: 99, cost_one: 7, cost_two: 3, cost_comp: 99}]
> [{cost: 94, cost_one: 5, cost_two: 0, cost_comp: 94}]
> [{cost: 93, cost_one: 3, cost_two: 2, cost_comp: 93}]
