> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 2, cost_comp: 9}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 2, cost_comp: 9}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 2, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 2, cost_comp: 9}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 2, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 2, cost_comp: 9}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 2, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 2, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 2, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
