> [{cost: 112, cost_one: 4, cost_two: 4}]
> [{cost: 112, cost_one: 2, cost_two: 4}]
> [{cost: 112, cost_one: 4, cost_two: 4}]
> [{cost: 111, cost_one: 3, cost_two: 2}]
> [{cost: 112, cost_one: 3, cost_two: 4}]
> [{cost: 112, cost_one: 3, cost_two: 6}]
> [{cost: 112, cost_one: 3, cost_two: 3}]
> [{cost: 113, cost_one: 2, cost_two: 3}]
> [{cost: 112, cost_one: 5, cost_two: 4}]
> [{cost: 112, cost_one: 2, cost_two: 3}]
> [{cost: 112, cost_one: 4, cost_two: 5}]
> [{cost: 112, cost_one: 1, cost_two: 3}]
> [{cost: 112, cost_one: 5, cost_two: 6}]
> [{cost: 112, cost_one: 3, cost_two: 3}]
> [{cost: 112, cost_one: 4, cost_two: 4}]
> [{cost: 110, cost_one: 4, cost_two: 2}]
> [{cost: 110, cost_one: 2, cost_two: 3}]
> [{cost: 110, cost_one: 3, cost_two: 3}]
> [{cost: 108, cost_one: 4, cost_two: 2}]
> [{cost: 108, cost_one: 3, cost_two: 4}]
> [{cost: 106, cost_one: 5, cost_two: 3}]
> [{cost: 105, cost_one: 5, cost_two: 4}]
> [{cost: 105, cost_one: 4, cost_two: 5}]
> [{cost: 105, cost_one: 3, cost_two: 5}]
> [{cost: 105, cost_one: 3, cost_two: 3}]
> [{cost: 105, cost_one: 4, cost_two: 4}]
> [{cost: 105, cost_one: 3, cost_two: 4}]
> [{cost: 105, cost_one: 3, cost_two: 5}]
> [{cost: 105, cost_one: 4, cost_two: 4}]
> [{cost: 105, cost_one: 2, cost_two: 2}]
> [{cost: 105, cost_one: 3, cost_two: 3}]
> [{cost: 104, cost_one: 4, cost_two: 3}]
> [{cost: 104, cost_one: 2, cost_two: 4}]
> [{cost: 104, cost_one: 3, cost_two: 3}]
> [{cost: 104, cost_one: 3, cost_two: 3}]
> [{cost: 103, cost_one: 4, cost_two: 3}]
> [{cost: 103, cost_one: 3, cost_two: 5}]
> [{cost: 103, cost_one: 3, cost_two: 3}]
> [{cost: 102, cost_one: 3, cost_two: 2}]
> [{cost: 101, cost_one: 4, cost_two: 3}]
> [{cost: 100, cost_one: 3, cost_two: 2}]
> [{cost: 100, cost_one: 2, cost_two: 4}]
> [{cost: 100, cost_one: 4, cost_two: 4}]
> [{cost: 100, cost_one: 3, cost_two: 3}]
> [{cost: 100, cost_one: 2, cost_two: 4}]
> [{cost: 100, cost_one: 1, cost_two: 3}]
> [{cost: 100, cost_one: 3, cost_two: 3}]
> [{cost: 100, cost_one: 3, cost_two: 5}]
> [{cost: 99, cost_one: 2, cost_two: 1}]
> [{cost: 99, cost_one: 1, cost_two: 3}]
> [{cost: 99, cost_one: 4, cost_two: 5}]
> [{cost: 99, cost_one: 1, cost_two: 3}]
> [{cost: 99, cost_one: 2, cost_two: 3}]
> [{cost: 99, cost_one: 2, cost_two: 2}]
> [{cost: 99, cost_one: 1, cost_two: 2}]
> [{cost: 99, cost_one: 3, cost_two: 5}]
> [{cost: 99, cost_one: 3, cost_two: 5}]
> [{cost: 99, cost_one: 3, cost_two: 3}]
> [{cost: 96, cost_one: 4, cost_two: 1}]
> [{cost: 96, cost_one: 4, cost_two: 4}]
> [{cost: 96, cost_one: 3, cost_two: 4}]
> [{cost: 96, cost_one: 2, cost_two: 2}]
> [{cost: 94, cost_one: 4, cost_two: 2}]
> [{cost: 94, cost_one: 2, cost_two: 2}]
> [{cost: 94, cost_one: 3, cost_two: 4}]
> [{cost: 94, cost_one: 2, cost_two: 2}]
> [{cost: 92, cost_one: 3, cost_two: 1}]
> [{cost: 92, cost_one: 3, cost_two: 4}]
> [{cost: 92, cost_one: 3, cost_two: 3}]
> [{cost: 92, cost_one: 3, cost_two: 3}]
> [{cost: 90, cost_one: 4, cost_two: 2}]
> [{cost: 90, cost_one: 1, cost_two: 4}]
> [{cost: 89, cost_one: 4, cost_two: 3}]
> [{cost: 87, cost_one: 3, cost_two: 1}]
> [{cost: 87, cost_one: 3, cost_two: 3}]
> [{cost: 87, cost_one: 2, cost_two: 3}]
> [{cost: 87, cost_one: 3, cost_two: 7}]
> [{cost: 87, cost_one: 2, cost_two: 4}]
> [{cost: 87, cost_one: 3, cost_two: 3}]
